round,fraction_fit,fraction_fit_prev,accuracy_prev,accuracy
1,0.5,1.0,,0.1
2,0.2762120213103668,0.5,0.1,0.1
3,0.27638457617723067,0.2762120213103668,0.1,0.1
4,0.11295413976678029,0.27638457617723067,0.1,0.1
5,0.20983441136030095,0.11295413976678029,0.1,0.1
6,0.20983441136030095,0.20983441136030095,0.1,0.1
7,0.32436300623398745,0.20983441136030095,0.1,0.1
8,0.20983441136030095,0.32436300623398745,0.1,0.1
9,0.32436300623398745,0.20983441136030095,0.1,0.1
10,0.2650640588680905,0.32436300623398745,0.1,0.1
11,0.32436300623398745,0.2650640588680905,0.1,0.1
12,0.20983441136030095,0.32436300623398745,0.1,0.1109
13,0.4041956411663823,0.20983441136030095,0.1109,0.1
14,0.2650640588680905,0.4041956411663823,0.1,0.1
15,0.2650640588680905,0.2650640588680905,0.1,0.1
16,0.2650640588680905,0.2650640588680905,0.1,0.1
17,0.2650640588680905,0.2650640588680905,0.1,0.1
18,0.2650640588680905,0.2650640588680905,0.1,0.1
19,0.20983441136030095,0.2650640588680905,0.1,0.1
20,0.20983441136030095,0.20983441136030095,0.1,0.1
21,0.20983441136030095,0.20983441136030095,0.1,0.1
22,0.20983441136030095,0.20983441136030095,0.1,0.1
23,0.20983441136030095,0.20983441136030095,0.1,0.1
24,0.20983441136030095,0.20983441136030095,0.1,0.1
25,0.20983441136030095,0.20983441136030095,0.1,0.1
26,0.20983441136030095,0.20983441136030095,0.1,0.1
27,0.20983441136030095,0.20983441136030095,0.1,0.1
28,0.20983441136030095,0.20983441136030095,0.1,0.1
29,0.20983441136030095,0.20983441136030095,0.1,0.1
30,0.20983441136030095,0.20983441136030095,0.1,0.1
31,0.20983441136030095,0.20983441136030095,0.1,0.1
32,0.20983441136030095,0.20983441136030095,0.1,0.1
33,0.43100481944732794,0.20983441136030095,0.1,0.1
34,0.20983441136030095,0.43100481944732794,0.1,0.1
35,0.20983441136030095,0.20983441136030095,0.1,0.1
36,0.20983441136030095,0.20983441136030095,0.1,0.1
37,0.20983441136030095,0.20983441136030095,0.1,0.1
38,0.20983441136030095,0.20983441136030095,0.1,0.1
39,0.20983441136030095,0.20983441136030095,0.1,0.1
40,0.20983441136030095,0.20983441136030095,0.1,0.1
