ID,total_clients,fraction_fit,strategy,dataset,local_epochs,num_rounds,setting,partitioning_type,labels_per_client,alpha,batch_size,output_folder,learning_rate,dropout,Comments,valid
89,30,0.7,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-28\\14-40-15,0.01,FALSE,,Yes
90,10,0.7,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-26\\00-56-47,0.01,FALSE,,Yes
91,10,0.5,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-26\\00-56-32,0.01,FALSE,,Yes
92,20,0.5,FedAvg,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-09-26\\01-12-52,0.01,FALSE,,Yes
93,20,cyclic,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-04\\05-36-44,0.5,FALSE,"learning_rate = 0.5, clustering approach did not work",Yes
94,20,cyclic,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-04\\05-25-06,"1,00",FALSE,learning_rate: 0.001,Yes
95,20,cyclic,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-04\\04-31-12,0.01,FALSE,learning_rate: 0.01,Yes
96,20,0.7,FedAvg,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-05\\02-29-37,0.01,FALSE,,Yes
97,20,cyclic,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-05\\03-16-38,0.01,FALSE,learning_rate: 0.01,Yes
98,20,cyclic,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-05\04-22-25,"0,005",FALSE,learning_rate: 0.005,Yes
99,20,cyclic,FedClusterEnsemble,fmnist,2,60,Non-IID,label_groups,NA,NA,16,outputs\2024-10-05\04-44-28,"0,005",FALSE,learning_rate: 0.005,Yes
100,20,0.7,FedAvg,fmnist,2,60,Non-IID,label_groups,NA,NA,16,outputs\2024-10-05\05-04-48,"5,00",FALSE,learning_rate: 0.005,Yes
101,20,cyclic,FedClusterEnsemble,cifar10,2,60,Non-IID,label_groups,NA,NA,64,outputs\\2024-10-05\\15-54-33,0.01,FALSE,,Yes
